id	Objeto	Tipo	Color	Uso	Recuerdo 	Propietario	Origen	Lugar	Anno	Conexion	Extension	 
241	Camisa rosa	Ropa	Rosado	Frecuente		Mauricio	Compra	México	2018	No	No
242	Camisa vinotinto	Ropa	Vinotinto	Poco frecuente		Mauricio	Compra	Falabella	2017	No	No
243	Jean gris claro	Ropa	Gris claro	Casi nunca		Mauricio	Compra	Zara	s/f	No	No
244	Pantalon negro negro	Ropa	Negro	Frecuente		Mauricio	Compra	Zara	2018	No	No
245	Jean	Ropa	Azul oscuro	Frecuente		Mauricio	Compra	Zara	2018	No	No
246	Pantalon crema 	Ropa	Beige	Frecuente		Mauricio	Compra	Falabella	2018	No	No
247	Pantalon beige claro	Ropa	Beige	Frecuente		Mauricio	Compra	Zara	2018	No	No
248	Pantalon beige oscuro	Ropa	Ocre	Frecuente		Mauricio	Compra	Zara	2017	No	No
249	Pantalon gris tela	Ropa	Gris	Poco frecuente		Mauricio	Compra	Zara	2017	No	No
250	Pantalon azul 	Ropa	Azul	Frecuente		Mauricio	Compra	Zara	2018	No	No
251	Tenis N. azul oscuro	Zapatos	Azul oscuro	Frecuente	Es un regalo de su hermana	Mauricio	Regalo	México	2018	No	No
252	Tenis N. azul verde	Zapatos	Turquesa	Muy poco frecuente	Es un regalo de su hermana	Mauricio	Regalo	Unicentro	2015	No	No
